Model,Market,Year From,Year To,URL,Make
I30,DOM,2016,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwH1yPXkkfSitL-GuuH9srbljYWPipaG8K-nruvkpOL95Imay97Iho_z8PXy8fe8vK605Pvil-S8vcHQ6Yn3r4qGlfK5zN2tuZmegPH-8_Lgz_y0soGViY2PjMne8pi2sraHkYiZ38LI9fyo8_cAAAAAMt2TRQ%3D%3D%24&vid=1850795737&q=,Hyundai
Sonata,DOM,2017,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHj3uPyh-K0oqmQrPfrpKDzm5OZnICU5LmxuP3ysvTr8p-M3cjekJnl5uPk5-Gqqrii8u30gfKqq9fG06mTiLvnspGb19-7r4-Ilufo5eT22eqipJeDn5uZmt_I5I6gpKCRh56PydTe4-qEub-xo7QAAAAAOcS0MA%3D%3D%24&vid=1740461551&q=,Hyundai
Veloster,DOM,2017,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwGhnKGwxaD24OvS7rWp5uKx2dHb3sLfpPvz-r-w8LapsN3On4qc0tunpKGmpaPo6PrgsK-2w7Do6ZWEtN7C38vx3tfkgaf57c3K1KWqp6a0m6jg5tXB3dnb2J2Kpszi5uLTxdzNi5acoajD8f_95uOvtgAAAABZDQhZ%24&vid=551707672&q=,Hyundai
Genesis G70,DOM,2017,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwE8ATwtWD1rfXZPcyg0e38sRExGQ19PM2ZuZyItbSs0LUBTAhcBT0Y6OTw7OD51dWd9LTIrXi11dAgZDT1AZTFgXEdEGDZkcFBXSTg3OjspBjV9e0hcQERGRQAXO1F_e39OWEFQFgsBPDVPbGBqe2MkeQI5PwAAAAAlcBD8%24&vid=935699611&q=,Hyundai
Kona Electric,DOM,2018,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwHE-cTVoMWThY63i9DMg4fUvLS-u6e_oeqQhNTb0pTUzdK69vTzsra5w8bFxMKbg5HUhNLL1KfSj9H-_cOzvaWzhoTEzfXO14mvrrbByMCe3-KGhISxo7m7vOD284iogIKAt6e79eDvssXKupmZkdLqzdiVg4KYlQAAAABZLn3u%24&vid=1874781584&q=,Hyundai
Nexo,DOM,2018,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEMMQwdaA1bTUZ_QxgES08cdHx2c291D1ZRVxIdXRsEHXBjMicxf3YKCQwLCA5FRVdNHQIbbh1FRDgpDwd4a1AHElNbKA5UQGBneQgHCgsZNgVNS3hscHR2dTAnC2FPS09-aHFgJjsxDAV2XEZQAAAAABKwVHg%3D%24&vid=1809995512&q=,Hyundai
Veloster N,DOM,2018,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwFYZVhJPFkPGRIrF0xQHxtIICgiJzsuOwIFA0ZJCU9QSSQ3ZnNlKyJeXVhfXFoREQMZSVZPOkkREGx9dCU-PwYQHgNDdXAAFDQzLVxTXl9NYlEZHyw4JCAiIWRzXzUbHxsqPCU0cm9lWFE6CAYEHxpWTwEkAAAAAApMTz4%3D%24&vid=1692805745&q=,Hyundai
Avante,DOM,2018,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwG-g76v2r_p__TN8aq2-f2uxs7Ewd3MuuTi5aCv76m2r8LRgJWDzcS4u765urz39-X_r7Cp3K_39oqbj8fa8t7hoPz6tO_m8tLVy7q1uLmrhLf_-crewsbEx4KVudP9-f3M2sPSlImDvrfL_e3j_u0AAAAA2Jq5iA%3D%3D%24&vid=1718706063&q=,Hyundai
Genesis G90,DOM,2018,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwH8wfztmP2rvbaPs-j0u7_shIyGg5-M-Kagp-Ltrev07YCTwtfBj4b6-fz7-P61tae97fLrnu21tMjZy-OWqa2e--Wg9PKksJCXifj3-vvpxvW9u4icgISGhcDX-5G_u7-OmIGQ1svB_PWPrKCqu6PkucL3_wAAAAA4k3Qk%24&vid=437281125&q=,Hyundai
Sonata,DOM,2019,,/en/catalog/genuine/groups?c=Hyundai&ssd=%24%2AKwEyDzIjVjNlc3hBfSY6dXEiSkJITVFCUmhuaSwjYyU6I05dDBkPQUg0NzI1NjB7e2lzIzwlUCN7egYXInB0Z1Q5LHZcKjhqfl5ZRzY5NDUnCDtzdUZSTkpISw4ZNV9xdXFAVk9eGAUPMjtVaG5gcmUAAAAA2uTp0g%3D%3D%24&vid=1389155313&q=,Hyundai
